"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","860","Это новый тест","webkit","Tue Mar 04 00:37:53 GMT 2025","passed","Tue Mar 04 00:37:54 GMT 2025","Шаблон","template.spec.js","",""
"","354","get challenges","firefox","Tue Mar 04 00:36:05 GMT 2025","passed","Tue Mar 04 00:36:05 GMT 2025","Challenge","api.spec.js","",""
"","881","Это новый тест","chromium","Tue Mar 04 00:37:58 GMT 2025","passed","Tue Mar 04 00:37:58 GMT 2025","Шаблон","builder.spec.js","",""
"","344","get challenges","webkit","Tue Mar 04 00:37:08 GMT 2025","passed","Tue Mar 04 00:37:08 GMT 2025","Challenge","api.spec.js","",""
"","1159","Это новый тест","setup","Tue Mar 04 00:36:03 GMT 2025","passed","Tue Mar 04 00:36:04 GMT 2025","","auth.setup.js","",""
"","5741","Пользователь может зарегистрировать POv2","chromium","Tue Mar 04 00:39:45 GMT 2025","failed","Tue Mar 04 00:39:51 GMT 2025","Page Object middle","pageobjectMedium.spec.js","",""
"","149","get challenges","chromium","Tue Mar 04 00:37:57 GMT 2025","passed","Tue Mar 04 00:37:57 GMT 2025","Challenge","apiAxios.spec.js","",""
"","134","get challenges","webkit","Tue Mar 04 00:37:10 GMT 2025","passed","Tue Mar 04 00:37:10 GMT 2025","Challenge","apiAxios.spec.js","",""
"","30119","Это новый тест","chromium","Tue Mar 04 00:39:00 GMT 2025","broken","Tue Mar 04 00:39:30 GMT 2025","Шаблон","facade.spec.js","",""
"","1045","Это новый тест с фикстурой нового пользователя","webkit","Tue Mar 04 00:37:12 GMT 2025","passed","Tue Mar 04 00:37:13 GMT 2025","Фикстуры","fast.spec.js","",""
"","133","get challenges","firefox","Tue Mar 04 00:36:08 GMT 2025","passed","Tue Mar 04 00:36:08 GMT 2025","Challenge","apiAxios.spec.js","",""
"","179","get challenges","webkit","Tue Mar 04 00:37:09 GMT 2025","failed","Tue Mar 04 00:37:10 GMT 2025","Challenge with Service","api2.spec.js","",""
"","6727","Пользователь может зарегистрировать POv21","firefox","Tue Mar 04 00:36:55 GMT 2025","failed","Tue Mar 04 00:37:02 GMT 2025","Page Object middle V2","pageobjectMediumv2.spec.js","",""
"","158","get challenges","chromium","Tue Mar 04 00:37:57 GMT 2025","failed","Tue Mar 04 00:37:57 GMT 2025","Challenge with Service","api2.spec.js","",""
"","902","Пользователь может авторизоваться используя логин пароль","webkit","Tue Mar 04 00:37:52 GMT 2025","passed","Tue Mar 04 00:37:53 GMT 2025","Авторизация","pageobjectSimple.spec.js","",""
"","1887","Пользователь может авторизоваться используя логин пароль","firefox","Tue Mar 04 00:37:03 GMT 2025","passed","Tue Mar 04 00:37:05 GMT 2025","Авторизация","pageobjectSimple.spec.js","",""
"","5738","Пользователь может зарегистрировать POv21","chromium","Tue Mar 04 00:40:05 GMT 2025","failed","Tue Mar 04 00:40:11 GMT 2025","Page Object middle V2","pageobjectMediumv2.spec.js","",""
"","901","Это новый тест","chromium","Tue Mar 04 00:41:44 GMT 2025","passed","Tue Mar 04 00:41:45 GMT 2025","Шаблон","template.spec.js","",""
"","6807","Пользователь может зарегистрировать POv2","firefox","Tue Mar 04 00:36:30 GMT 2025","failed","Tue Mar 04 00:36:37 GMT 2025","Page Object middle","pageobjectMedium.spec.js","",""
"","863","Это новый тест","webkit","Tue Mar 04 00:37:11 GMT 2025","passed","Tue Mar 04 00:37:12 GMT 2025","Шаблон","facade.spec.js","",""
"","1175","Это новый тест","firefox","Tue Mar 04 00:37:06 GMT 2025","passed","Tue Mar 04 00:37:07 GMT 2025","Шаблон","template.spec.js","",""
"","5718","Пользователь может зарегистрировать POv21","webkit","Tue Mar 04 00:37:46 GMT 2025","failed","Tue Mar 04 00:37:52 GMT 2025","Page Object middle V2","pageobjectMediumv2.spec.js","",""
"","1244","Это новый тест с фикстурой нового пользователя","firefox","Tue Mar 04 00:36:13 GMT 2025","passed","Tue Mar 04 00:36:14 GMT 2025","Фикстуры","fast.spec.js","",""
"","365","get challenges","chromium","Tue Mar 04 00:37:55 GMT 2025","passed","Tue Mar 04 00:37:55 GMT 2025","Challenge","api.spec.js","",""
"","1417","Это новый тест","firefox","Tue Mar 04 00:36:11 GMT 2025","passed","Tue Mar 04 00:36:13 GMT 2025","Шаблон","facade.spec.js","",""
"","941","Это новый тест с фикстурой нового пользователя","chromium","Tue Mar 04 00:39:31 GMT 2025","passed","Tue Mar 04 00:39:32 GMT 2025","Фикстуры","fast.spec.js","",""
"","443","get challenges","firefox","Tue Mar 04 00:36:07 GMT 2025","failed","Tue Mar 04 00:36:08 GMT 2025","Challenge with Service","api2.spec.js","",""
"","2448","Это новый тест","firefox","Tue Mar 04 00:36:08 GMT 2025","passed","Tue Mar 04 00:36:11 GMT 2025","Шаблон","builder.spec.js","",""
"","30113","Пользователь может авторизоваться используя логин пароль","chromium","Tue Mar 04 00:41:13 GMT 2025","broken","Tue Mar 04 00:41:43 GMT 2025","Авторизация","pageobjectSimple.spec.js","",""
"","923","Это новый тест","webkit","Tue Mar 04 00:37:10 GMT 2025","passed","Tue Mar 04 00:37:11 GMT 2025","Шаблон","builder.spec.js","",""
"","5743","Пользователь может зарегистрировать POv2","webkit","Tue Mar 04 00:37:26 GMT 2025","failed","Tue Mar 04 00:37:32 GMT 2025","Page Object middle","pageobjectMedium.spec.js","",""
